dataset,image_name,class_name,count,avg_confidence
stress_test,010_aug3_light_1.01_3.jpg,_no_detections_,0,0.0
stress_test,011_aug1_perspective+light_1.27_-34+color_-9_-16_18.jpg,_no_detections_,0,0.0
stress_test,011_aug2_noise.jpg,_no_detections_,0,0.0
stress_test,011_aug3_light_0.77_8+color_19_-15_6.jpg,_no_detections_,0,0.0
stress_test,012_aug1_color_-4_-7_22+noise+perspective.jpg,_no_detections_,0,0.0
stress_test,012_aug2_light_0.92_40+noise.jpg,grozi_106,1,0.3034
stress_test,012_aug3_color_-7_12_-4.jpg,grozi_66,1,0.2711
stress_test,013_aug1_perspective.jpg,grozi_22,1,0.6946
stress_test,013_aug2_color_-12_-4_-13+perspective+light_0.95_-20.jpg,grozi_22,1,0.2885
stress_test,013_aug3_light_1.04_26.jpg,grozi_22,1,0.2889
stress_test,014_aug1_light_0.83_-30.jpg,grozi_33,1,0.5007
stress_test,014_aug2_blur_k7+occlusion3.jpg,grozi_19,1,0.4996
stress_test,014_aug3_blur_k3+occlusion2+noise.jpg,grozi_33,1,0.5015
stress_test,015_aug1_occlusion1+color_-19_-9_27+blur_k5.jpg,grozi_31,1,0.3618
stress_test,015_aug2_noise+blur_k7.jpg,grozi_58,1,0.527
stress_test,015_aug2_noise+blur_k7.jpg,grozi_22,1,0.4245
stress_test,015_aug3_occlusion1.jpg,grozi_58,1,0.3394
stress_test,016_aug1_perspective+noise.jpg,grozi_101,1,0.3654
stress_test,016_aug2_perspective+color_-4_-18_-14.jpg,_no_detections_,0,0.0
stress_test,016_aug3_occlusion2+perspective+color_22_1_19.jpg,grozi_22,1,0.3057
stress_test,017_aug1_noise+light_0.81_-15.jpg,_no_detections_,0,0.0
stress_test,017_aug2_perspective+occlusion2.jpg,_no_detections_,0,0.0
stress_test,017_aug3_perspective.jpg,grozi_25,1,0.4077
stress_test,018_aug1_occlusion3+noise.jpg,_no_detections_,0,0.0
stress_test,018_aug2_noise.jpg,grozi_101,1,0.4539
stress_test,018_aug3_blur_k3.jpg,grozi_101,1,0.4815
stress_test,019_aug1_blur_k5.jpg,grozi_22,1,0.8172
stress_test,019_aug2_light_1.22_6+occlusion3+color_-9_24_13.jpg,grozi_19,1,0.2941
stress_test,019_aug2_light_1.22_6+occlusion3+color_-9_24_13.jpg,grozi_22,1,0.288
stress_test,019_aug3_light_0.77_28+color_9_-12_9.jpg,grozi_22,1,0.8782
stress_test,020_aug1_color_28_8_19+noise+perspective.jpg,grozi_69,1,0.3373
stress_test,020_aug2_noise.jpg,_no_detections_,0,0.0
stress_test,020_aug3_occlusion2+blur_k3+perspective.jpg,_no_detections_,0,0.0
stress_test,021_aug1_color_6_-17_-7+occlusion2.jpg,grozi_116,1,0.4543
stress_test,021_aug1_color_6_-17_-7+occlusion2.jpg,grozi_25,1,0.324
stress_test,021_aug2_perspective.jpg,_no_detections_,0,0.0
stress_test,021_aug3_noise+color_-3_7_11+blur_k3.jpg,_no_detections_,0,0.0
stress_test,022_aug1_perspective+occlusion1.jpg,_no_detections_,0,0.0
stress_test,022_aug2_light_0.69_-3+noise+occlusion2.jpg,_no_detections_,0,0.0
stress_test,022_aug3_light_0.61_3+occlusion2.jpg,_no_detections_,0,0.0
stress_test,023_aug1_color_-11_-5_-12.jpg,grozi_101,1,0.3917
stress_test,023_aug2_noise+light_0.75_16.jpg,grozi_101,1,0.3893
stress_test,023_aug3_blur_k7+color_27_25_-13.jpg,grozi_19,1,0.3968
stress_test,024_aug1_perspective.jpg,grozi_101,1,0.3123
stress_test,024_aug2_occlusion1+blur_k3.jpg,grozi_101,1,0.4538
stress_test,024_aug3_perspective+color_3_-16_12+light_1.05_-39.jpg,_no_detections_,0,0.0
stress_test,025_aug1_occlusion2+light_1.06_9.jpg,grozi_68,1,0.303
stress_test,025_aug1_occlusion2+light_1.06_9.jpg,grozi_17,1,0.288
stress_test,025_aug2_occlusion3+noise+color_1_-19_11.jpg,grozi_7,1,0.5771
stress_test,025_aug3_blur_k3+occlusion2.jpg,grozi_17,2,0.4715
stress_test,026_aug1_blur_k7+light_0.88_4+noise.jpg,grozi_66,1,0.424
stress_test,026_aug1_blur_k7+light_0.88_4+noise.jpg,grozi_22,1,0.2862
stress_test,026_aug2_noise+occlusion1.jpg,grozi_66,1,0.5681
stress_test,026_aug2_noise+occlusion1.jpg,grozi_22,1,0.341
stress_test,026_aug3_blur_k5+perspective+color_24_9_-3.jpg,_no_detections_,0,0.0
stress_test,027_aug1_perspective+blur_k7.jpg,_no_detections_,0,0.0
stress_test,027_aug2_perspective+color_-1_-20_25.jpg,_no_detections_,0,0.0
stress_test,027_aug3_blur_k3+perspective+light_0.94_-13.jpg,grozi_101,1,0.3052
stress_test,028_aug1_perspective.jpg,_no_detections_,0,0.0
stress_test,028_aug2_noise+light_0.99_-16+blur_k3.jpg,_no_detections_,0,0.0
stress_test,028_aug3_color_28_6_18.jpg,_no_detections_,0,0.0
stress_test,029_aug1_color_8_8_-1+blur_k7+occlusion2.jpg,_no_detections_,0,0.0
stress_test,029_aug2_blur_k3+perspective+light_1.08_-2.jpg,grozi_51,1,0.3433
stress_test,029_aug3_blur_k5.jpg,_no_detections_,0,0.0
stress_test,030_aug1_perspective+occlusion3+light_0.64_23.jpg,_no_detections_,0,0.0
stress_test,030_aug2_noise+color_9_24_-1+perspective.jpg,grozi_19,1,0.3497
stress_test,030_aug3_light_1.02_-38+occlusion1+perspective.jpg,grozi_101,1,0.2723
stress_test,031_aug1_occlusion3.jpg,_no_detections_,0,0.0
stress_test,031_aug2_noise+light_0.83_15.jpg,grozi_22,1,0.6651
stress_test,031_aug2_noise+light_0.83_15.jpg,grozi_101,1,0.4625
stress_test,031_aug3_noise+occlusion3.jpg,grozi_22,1,0.6416
stress_test,031_aug3_noise+occlusion3.jpg,grozi_101,1,0.4358
stress_test,032_aug1_color_-17_-8_13+occlusion2+noise.jpg,_no_detections_,0,0.0
stress_test,032_aug2_perspective.jpg,_no_detections_,0,0.0
stress_test,032_aug3_color_6_-15_-6.jpg,_no_detections_,0,0.0
stress_test,033_aug1_occlusion1.jpg,grozi_69,1,0.6726
stress_test,033_aug2_noise+perspective+occlusion3.jpg,grozi_69,1,0.7959
stress_test,033_aug3_color_8_14_10+occlusion2+blur_k7.jpg,grozi_69,1,0.9436
stress_test,034_aug1_color_4_-6_29.jpg,_no_detections_,0,0.0
stress_test,034_aug2_light_1.12_16+perspective.jpg,grozi_33,1,0.6895
stress_test,034_aug2_light_1.12_16+perspective.jpg,grozi_101,1,0.5691
stress_test,034_aug3_light_0.95_7+blur_k3.jpg,grozi_101,1,0.3164
stress_test,035_aug1_light_1.24_-39+color_-11_6_21.jpg,grozi_101,1,0.5406
stress_test,035_aug2_light_0.93_38.jpg,_no_detections_,0,0.0
stress_test,035_aug3_color_21_-15_1+occlusion3.jpg,grozi_19,1,0.3591
stress_test,036_aug1_light_0.91_16+noise.jpg,grozi_33,1,0.3223
stress_test,036_aug1_light_0.91_16+noise.jpg,grozi_22,1,0.2717
stress_test,036_aug2_perspective.jpg,_no_detections_,0,0.0
stress_test,036_aug3_occlusion1+color_19_23_-5+blur_k5.jpg,grozi_19,1,0.6893
stress_test,037_aug1_blur_k7+noise+occlusion2.jpg,grozi_66,1,0.5099
stress_test,037_aug1_blur_k7+noise+occlusion2.jpg,grozi_22,1,0.2785
stress_test,037_aug2_occlusion2.jpg,grozi_66,1,0.3754
stress_test,037_aug2_occlusion2.jpg,grozi_106,1,0.3085
stress_test,037_aug3_occlusion1+light_0.81_16.jpg,grozi_66,1,0.4892
stress_test,038_aug1_noise.jpg,_no_detections_,0,0.0
stress_test,038_aug2_color_23_29_27.jpg,_no_detections_,0,0.0
stress_test,038_aug3_color_27_11_-2.jpg,_no_detections_,0,0.0
stress_test,039_aug1_color_2_-6_20.jpg,grozi_31,1,0.503
stress_test,039_aug2_color_-4_23_28.jpg,grozi_101,1,0.446
stress_test,039_aug2_color_-4_23_28.jpg,grozi_31,1,0.3468
stress_test,039_aug3_noise+blur_k7+light_0.63_23.jpg,_no_detections_,0,0.0
stress_test,040_aug1_color_3_26_-12.jpg,grozi_62,1,0.5726
stress_test,040_aug2_perspective.jpg,_no_detections_,0,0.0
stress_test,040_aug3_color_-3_-10_-4+noise.jpg,grozi_16,1,0.256
stress_test,041_aug1_perspective+noise.jpg,_no_detections_,0,0.0
stress_test,041_aug2_light_0.98_-4+perspective.jpg,_no_detections_,0,0.0
stress_test,041_aug3_color_21_-16_20+blur_k5.jpg,_no_detections_,0,0.0
stress_test,042_aug1_perspective+occlusion3+light_0.67_-1.jpg,_no_detections_,0,0.0
stress_test,042_aug2_perspective+light_0.67_15.jpg,grozi_69,1,0.3674
stress_test,042_aug3_noise+perspective+light_1.05_8.jpg,grozi_25,1,0.367
stress_test,043_aug1_light_1.15_-21.jpg,_no_detections_,0,0.0
stress_test,043_aug2_color_-7_-16_28.jpg,_no_detections_,0,0.0
stress_test,043_aug3_blur_k3+color_1_29_-11+noise.jpg,grozi_19,1,0.5774
stress_test,043_aug3_blur_k3+color_1_29_-11+noise.jpg,grozi_114,1,0.395
stress_test,044_aug1_light_1.29_3+perspective+blur_k3.jpg,_no_detections_,0,0.0
stress_test,044_aug2_perspective+light_0.64_-4+blur_k5.jpg,_no_detections_,0,0.0
stress_test,044_aug3_color_12_-6_19+light_0.63_23+occlusion3.jpg,_no_detections_,0,0.0
stress_test,045_aug1_light_0.83_-28.jpg,grozi_22,1,0.2978
stress_test,045_aug2_perspective.jpg,grozi_22,1,0.5731
stress_test,045_aug3_perspective+occlusion3+color_7_0_22.jpg,_no_detections_,0,0.0
